id,hora,tipo,boca,TBA,IMO,amarracao,fundeio_barra,navio_id,manobra,data,LOA,calado,DWT,rebocadores,indicativo,situacao,navio
68,17:00:00,GR,32.3,44127,9718698,,,9718698,EF: ,2025-08-13,229.0,0.0,82043, ,D5JD3,PREVISTA,Navio: GREEK SEAS Bandeira: LIBERIA IMO: 9718698
69,17:00:00,TQ,32.24,29899,9688350,,,9688350,EF: ,2025-08-13,183.12,0.0,49990, ,V7DS2,PREVISTA,Navio: STI YORKVILLE Bandeira: MARSHALL ISLANDS IMO: 9688350
70,17:00:00,GR,30.03,24785,9657868,,,9657868,EF: ,2025-08-13,179.99,0.0,39182, ,9VA013,PREVISTA,Navio: ONE AND ONLY Bandeira: SINGAPORE IMO: 9657868
71,17:00:00,OH,26.06,17944,9284362,,,9284362,EF: ,2025-08-13,178.43,0.0,27074, ,V4JD6,PREVISTA,Navio: EAGLE TRADER Bandeira: ST KITTS & NEVIS IMO: 9284362
72,19:00:00,GR,32.29,44095,9843742,,2025-08-07 13:06:00,9843742,EF: ,2025-08-13,229.0,13.1,82055, ,5BHT5,PREVISTA,Navio: EURIPIDES GRAECIA Bandeira: CYPRUS IMO: 9843742
73,20:00:00,FC,48.43,116295,9850898,,,9850898,EF: ,2025-08-13,333.95,0.0,130573, ,5LAF3,PREVISTA,Navio: EVER FEAT Bandeira: LIBERIA IMO: 9850898
74,22:00:00,FC,32.25,55487,9337688,,2025-08-11 05:01:00,9337688,EF: ,2025-08-13,294.12,9.1,65976, ,3EOS4,PREVISTA,Navio: NYK DIANA Bandeira: PANAMA IMO: 9337688
75,22:00:00,FC,48.22,96331,9702065,,2025-08-09 17:53:00,9702065,EF: ,2025-08-13,299.79,11.8,127447, ,CQEU7,PREVISTA,Navio: MSC LETIZIA Bandeira: PORTUGAL (MAR) IMO: 9702065
76,03:00:00,FC,45.86,106463,1016654,,2025-08-02 11:48:00,1016654,EF: ,2025-08-14,335.0,12.5,139647, ,5LVA3,PREVISTA,Navio: MSC LEILA Bandeira: LIBERIA IMO: 1016654
77,05:00:00,FC,48.34,113976,9786736,,,9786736,EF: ,2025-08-14,330.0,0.0,132672, ,VRTG6,PREVISTA,"Navio: SEASPAN OSPREY Bandeira: HONG KONG, CHINA IMO: 9786736"
78,08:00:00,FC,48.29,94895,9687526,,,9687526,EF: ,2025-08-14,299.9,0.0,116933, ,D5HE7,PREVISTA,Navio: COPIAPO Bandeira: LIBERIA IMO: 9687526
79,12:00:00,OH,30.6,23950,9544164,,,9544164,EF: ,2025-08-14,184.75,0.0,38140, ,V7A5613,PREVISTA,Navio: AGIA FOTINI Bandeira: MARSHALL ISLANDS IMO: 9544164
80,12:00:00,TQ,23.1,15314,9458157,,,9458157,EF: ,2025-08-14,155.0,0.0,17740, ,3FTO4,PREVISTA,Navio: GAZ SYNERGY Bandeira: PANAMA IMO: 9458157
81,13:00:00,TQ,32.23,29735,9440514,,,9440514,EF: ,2025-08-14,183.06,0.0,49990, ,9A2798,PREVISTA,Navio: PAG Bandeira: CROATIA IMO: 9440514
82,14:00:00,FC,32.3,40030,9360910,,,9360910,EF: ,2025-08-14,259.8,0.0,50813, ,C4XC2,PREVISTA,Navio: SEATTLE C Bandeira: CYPRUS IMO: 9360910
83,15:00:00,FC,37.5,45169,9624299,,,9624299,EF: ,2025-08-14,255.17,0.0,59993, ,H3NI,PREVISTA,Navio: MAERSK KARUN Bandeira: PANAMA IMO: 9624299
84,17:00:00,GR,32.3,33044,9466908,,,9466908,EF: ,2025-08-14,189.99,0.0,56831, ,V7VC9,PREVISTA,Navio: LMZ TITAN Bandeira: MARSHALL ISLANDS IMO: 9466908
85,17:00:00,CG,27.74,22070,9546174,,,9546174,EF: ,2025-08-14,179.5,0.0,33478, ,V4GC6,PREVISTA,Navio: SATURN J Bandeira: ST KITTS & NEVIS IMO: 9546174
86,19:00:00,FC,48.33,95514,9720201,,,9720201,EF: ,2025-08-14,299.93,0.0,130819, ,CQEW8,PREVISTA,Navio: MSC DOMITILLE Bandeira: PORTUGAL (MAR) IMO: 9720201
87,04:00:00,FC,34.88,39106,9612789,,,9612789,EF: ,2025-08-15,223.96,0.0,48039, ,PU8163,PREVISTA,Navio: NC BRISA Bandeira: BRAZIL IMO: 9612789
88,05:00:00,FC,40.0,68570,9302102,,,9302102,EF: ,2025-08-15,284.71,0.0,71283, ,D5UB8,PREVISTA,Navio: RDO ENDEAVOUR Bandeira: LIBERIA IMO: 9302102
89,07:00:00,RR,31.14,40986,9318498,,,9318498,EF: ,2025-08-15,176.0,0.0,10855, ,C6VT8,PREVISTA,Navio: OPAL LEADER Bandeira: BAHAMAS IMO: 9318498
90,07:00:00,TQ,32.23,29528,9831191,,,9831191,EF: ,2025-08-15,183.06,0.0,49999, ,D5QE5,PREVISTA,Navio: ELANDRA MAPLE Bandeira: LIBERIA IMO: 9831191
91,07:00:00,TQ,28.3,22446,9866770,,,9866770,EF: ,2025-08-15,182.9,0.0,36221, ,LAKA8,PREVISTA,Navio: BOW PROSPER Bandeira: NORWAY IMO: 9866770
92,08:00:00,RR,36.19,71543,9680712,,,9680712,EF: ,2025-08-15,236.32,0.0,30801, ,IBDE,PREVISTA,Navio: GRANDE ABIDJAN Bandeira: ITALY IMO: 9680712
93,12:00:00,FC,48.32,112836,9777175,,,9777175,EF: ,2025-08-15,330.02,0.0,134931, ,9HA4529,PREVISTA,Navio: CAPE ARTEMISIO Bandeira: MALTA IMO: 9777175
94,12:00:00,FC,34.89,39106,9612791,,,9612791,EF: ,2025-08-15,224.0,0.0,48044, ,PU8270,PREVISTA,Navio: NC BRAVO Bandeira: BRAZIL IMO: 9612791
95,13:00:00,FC,45.2,89174,9526942,,,9526942,EF: ,2025-08-15,299.9,0.0,106043, ,OZGB2,PREVISTA,Navio: MAERSK LAGUNA Bandeira: DENMARK IMO: 9526942
96,13:00:00,TQ,32.23,30240,9538153,,,9538153,EF: ,2025-08-15,183.2,0.0,52422, ,9V8232,PREVISTA,Navio: VIALLI Bandeira: SINGAPORE IMO: 9538153
97,13:00:00,TQ,26.8,19349,9568500,,,9568500,EF: ,2025-08-15,170.0,0.0,26961, ,3FHT5,PREVISTA,Navio: SAKURA BELLE Bandeira: PANAMA IMO: 9568500
98,13:00:00,GR,32.3,33042,9607277,,2025-08-06 15:30:00,9607277,EF: ,2025-08-15,189.99,12.1,56780, ,9HA2800,PREVISTA,Navio: BLUE FIN Bandeira: MALTA IMO: 9607277
99,17:00:00,GR,32.29,43268,9582843,,,9582843,EF: ,2025-08-15,228.99,0.0,82113, ,V7A4724,PREVISTA,Navio: MONT FORT Bandeira: MARSHALL ISLANDS IMO: 9582843
100,17:00:00,GR,32.26,43241,9836579,,,9836579,EF: ,2025-08-15,229.0,0.0,81668, ,V7A2879,PREVISTA,Navio: BASIC GLORY Bandeira: MARSHALL ISLANDS IMO: 9836579
101,17:00:00,GR,32.24,34157,9775854,,,9775854,EF: ,2025-08-15,199.99,0.0,60513, ,3FDI9,PREVISTA,Navio: ES WARRIOR Bandeira: PANAMA IMO: 9775854
102,17:00:00,GR,32.3,33230,9494058,,,9494058,EF: ,2025-08-15,190.0,0.0,57408, ,A8XO2,PREVISTA,Navio: AL YASAT- II Bandeira: LIBERIA IMO: 9494058
103,17:00:00,GR,30.05,24212,9626613,,,9626613,EF: ,2025-08-15,180.0,0.0,35856, ,V7YS3,PREVISTA,Navio: MOTHER M Bandeira: MARSHALL ISLANDS IMO: 9626613
104,17:00:00,GR,32.29,43012,9433614,,2025-08-10 22:54:00,9433614,EF: ,2025-08-15,228.99,6.65,82171, ,5LTO3,PREVISTA,Navio: BASEL Bandeira: LIBERIA IMO: 9433614
105,17:00:00,OH,29.58,24020,9604847,,2025-08-03 17:34:00,9604847,EF: ,2025-08-15,183.0,10.2,38468, ,V7A5071,PREVISTA,Navio: MERLIN Bandeira: MARSHALL ISLANDS IMO: 9604847
106,04:00:00,FC,35.04,29829,9953561,,,9953561,EF: ,2025-08-16,185.97,0.0,38605, ,V7A5955,PREVISTA,Navio: IRENES RULE Bandeira: MARSHALL ISLANDS IMO: 9953561
107,08:00:00,,29.2,24409,9777424,,,9777424,EF: ,2025-08-16,185.06,10.5,40810, ,V7QE6,PREVISTA,Navio: CHEMOCEAN LEO Bandeira: MARSHALL ISLANDS IMO: 9777424
108,10:00:00,OH,32.24,29688,9189940,,,9189940,EF: ,2025-08-16,194.94,0.0,50655, ,2ETN8,PREVISTA,Navio: STAR MAIA Bandeira: ISLE OF MAN IMO: 9189940
109,11:00:00,FC,51.0,129503,9938286,,,9938286,EF: ,2025-08-16,336.0,0.0,145650, ,9HA6023,PREVISTA,Navio: CMA CGM BELEM Bandeira: MALTA IMO: 9938286
110,11:00:00,FC,42.8,69809,9629457,,,9629457,EF: ,2025-08-16,270.9,0.0,80551, ,D5EX4,PREVISTA,Navio: CARDIFF Bandeira: LIBERIA IMO: 9629457
111,13:00:00,OH,27.03,19883,9268083,,2025-08-03 05:00:00,9268083,EF: ,2025-08-16,171.6,6.4,31646, ,8PKO8,PREVISTA,Navio: KAPADOKYA Bandeira: BARBADOS IMO: 9268083
112,14:00:00,TQ,24.03,12075,9838670,,,9838670,EF: ,2025-08-16,146.5,0.0,19999, ,V7A2395,PREVISTA,Navio: CHEM BARIUM Bandeira: MARSHALL ISLANDS IMO: 9838670
113,17:00:00,GR,32.3,43810,9727065,,,9727065,EF: ,2025-08-16,228.99,0.0,81841, ,5LUM6,PREVISTA,Navio: BH ASSEMBLE Bandeira: LIBERIA IMO: 9727065
114,17:00:00,GR,32.28,43461,9894284,,,9894284,EF: ,2025-08-16,229.0,0.0,81934, ,3FFJ6,PREVISTA,Navio: FLOURISH DIVA Bandeira: PANAMA IMO: 9894284
115,17:00:00,GR,32.3,32983,9456367,,,9456367,EF: ,2025-08-16,189.94,0.0,56898, ,A8WY6,PREVISTA,Navio: PISTI Bandeira: LIBERIA IMO: 9456367
116,17:00:00,GR,29.83,23268,9659892,,,9659892,EF: ,2025-08-16,179.97,0.0,38072, ,VRMA9,PREVISTA,"Navio: OCEAN INNOVATION Bandeira: HONG KONG, CHINA IMO: 9659892"
